,vocab,count
923,dumb,49
924,notice,49
925,beer,49
926,apply,49
927,ability,49
928,individual,48
929,pre,48
930,active,48
931,wine,48
932,league,48
933,gotta,48
934,original,48
935,code,48
936,emergency,48
937,toilet,48
938,attempt,48
939,lift,47
940,tram,47
941,nature,47
942,infection,47
943,po,47
944,bullshit,47
945,address,47
946,stress,47
947,brother,47
948,disgust,47
949,massive,47
950,pull,47
951,gate,47
952,tree,47
953,pressure,47
954,success,47
955,profit,47
956,seek,47
957,wild,47
958,quiet,47
959,mess,46
960,performance,46
961,character,46
962,summer,46
963,damage,46
964,direct,46
965,resource,46
966,rid,46
967,thankyou,46
968,thousand,46
969,radio,46
970,hahaha,46
971,negative,46
972,bag,46
973,glass,46
974,demand,46
975,inspire,46
976,rip,46
977,warm,46
978,cook,46
979,effo,46
980,nd,46
981,cash,46
982,liar,46
983,actual,46
984,none,46
985,encourage,46
986,improve,46
987,bias,46
988,finger,46
989,piss,45
990,burn,45
991,bar,45
992,apple,45
993,egg,45
994,church,45
995,nobody,45
996,pas,45
997,ride,45
998,hero,45
999,ignore,45
